resource_id,url,category,description,in_sources_md,sources_md_id,supporting_claims,claim_count,ingestion_batch
RES-0062,https://pmc.ncbi.nlm.nih.gov/articles/PMC2323142/,Academic (PubMed/PMC/preprint),Slesnick et al. (2008) — Health Services Research,yes,N-013,CL-397,1,project-history
RES-0063,https://pmc.ncbi.nlm.nih.gov/articles/PMC6352814/,Academic (PubMed/PMC/preprint),PMC Dublin homeless mortality cohort study 2011-2015,no,,CL-458,1,project-history
RES-0064,https://pressprogress.ca/justin-trudeau-is-blaming-conservatives-for-cuts-to-housing-those-cuts-actually-began-under-the-liberals/,Other (pressprogress.ca),Prof J Davis Hulchanski University of Toronto; multiple primary sources,no,,CL-038,1,project-history
RES-0065,https://psychiatryonline.org/doi/10.1176/appi.ps.201500002,Other (psychiatryonline.org),Poremski et al Psychiatric Services 2016 full text retrieved directly,no,,CL-370,1,project-history
RES-0066,https://psychiatryonline.org/doi/10.1176/appi.ps.202000029,Other (psychiatryonline.org),Latimer et al 2020 Psychiatric Services Table 2 plus EENet CAMH evidence summary corroboration,no,,CL-346,1,project-history
RES-0067,https://pub-london.escribemeetings.com/filestream.ashx?DocumentId=34005,Other (pub-london.escribemeetings.com),ISAC — Year-by-Year Ontario Works Rate Change Archive (2004-2016),yes,N-038,CL-445,1,project-history
RES-0068,https://pub-ottawa.escribemeetings.com/filestream.ashx?DocumentId=126970,Other (pub-ottawa.escribemeetings.com),"CBC News — Ottawa HPP Allocation Shortfall (April 27, 2023)",yes,G-006,,0,project-history
RES-0069,https://pubmed.ncbi.nlm.nih.gov/10791509/,Academic (PubMed/PMC/preprint),"Hwang (2000) — Mortality Among Men Using Homeless Shelters in Toronto, Ontario",yes,N-004,CL-424,1,project-history
RES-0070,https://raw.githubusercontent.com/rfordatascience/tidytuesday/main/data/2020/2020-12-01/shelters.csv,Other (raw.githubusercontent.com),City of Toronto Open Data via rfordatascience/tidytuesday GitHub mirror (TidyTuesday 2020-12-01),no,,CL-302,1,project-history
RES-0071,https://secure.toronto.ca/council/agenda-item.do?item=2023.BA45.8,City of Toronto (primary govt),City of Toronto Chief Procurement Officer report Council Item 2023.BA45.8,no,,CL-329,1,project-history
RES-0072,https://secure.toronto.ca/council/agenda-item.do?item=2023.EC7.7,City of Toronto (primary govt),Homelessness Services Capital Infrastructure Strategy — Council Item EC7.7,yes,C-003,CL-277,1,project-history
RES-0073,https://secure.toronto.ca/council/agenda-item.do?item=2023.MM7.28,City of Toronto (primary govt),City Council decision 2023.MM7.28 and ALFDC program materials,no,,CL-367,1,project-history
RES-0074,https://secure.toronto.ca/council/agenda-item.do?item=2024.EC13.8,City of Toronto (primary govt),Toronto City Council 2024.EC13.8,no,,CL-109;CL-278,2,project-history
RES-0075,https://secure.toronto.ca/council/agenda-item.do?item=2024.EC17.4,City of Toronto (primary govt),Council Item 2024.EC17.4,no,,CL-287;CL-717,2,project-history
RES-0076,https://secure.toronto.ca/council/agenda-item.do?item=2024.EC9.4,City of Toronto (primary govt),City of Toronto Council Item 2024.EC9.4,no,,CL-327;CL-749,2,project-history
RES-0077,https://secure.toronto.ca/council/agenda-item.do?item=2024.GG12.14,City of Toronto (primary govt),City of Toronto Council Item 2024.GG12.14,no,,CL-328,1,project-history
RES-0078,https://secure.toronto.ca/council/agenda-item.do?item=2024.MM20.38,City of Toronto (primary govt),"Mayor Chow Letter to Province — COHB Restoration Request (Sept 26, 2025)",yes,B-006,CL-281,1,project-history
RES-0079,https://secure.toronto.ca/council/agenda-item.do?item=2025.EC22.3,City of Toronto (primary govt),City of Toronto — Council Agenda Item 2025.EC22.3,yes,N-027,CL-432,1,project-history
RES-0080,https://secure.toronto.ca/council/agenda-item.do?item=2025.EX26.13,City of Toronto (primary govt),Mayor Olivia Chow letter to Council Sept 26 2025 item 2025.EX26.13,no,,CL-377;CL-688,2,project-history
RES-0081,https://secure.toronto.ca/council/agenda-item.do?item=2025.MM34.4,City of Toronto (primary govt),City of Toronto — Agenda Item 2025.MM34.4 and 2025.EX28.21,yes,N-046,CL-453;CL-572;CL-573;CL-713,4,project-history
RES-0082,https://secure.toronto.ca/council/agenda-item.do?item=2025.PH23.3,City of Toronto (primary govt),City of Toronto official council voting record; CBC Toronto July 24 2025; Progress Toronto,no,,CL-279;CL-210;CL-684,3,project-history
RES-0083,https://secure.toronto.ca/council/agenda-item.do?item=2025.PH25.4,City of Toronto (primary govt),City Council decision 2025.PH25.4,no,,CL-369,1,project-history
RES-0084,https://secure.toronto.ca/council/agenda-item.do?item=2026.TTC12.1,City of Toronto (primary govt),TTC 2026 Operating Budget — Agenda Item 2026.TTC12.1,yes,T-004,CL-400,1,project-history
RES-0085,https://secure.toronto.ca/council/report.do?meeting=2025.AU8&type=decisions,City of Toronto (primary govt),Toronto Auditor General Feb 2025 audit full recommendation list via Audit Committee decision documen,no,,CL-323;CL-337,2,project-history
RES-0086,https://secure.toronto.ca/council/report.do?meeting=2026.PH29&type=agenda,City of Toronto (primary govt),Official Planning and Housing Committee agenda April 14 2026; CreateTO board bio; Council Item 2024.,no,,CL-285,1,project-history
RES-0087,https://springmag.ca/the-system-fails-the-unhoused-a-voice-from-the-frontlines,Other (springmag.ca),Spring Magazine December 22 2022,no,,CL-293,1,project-history
RES-0088,https://taeh.ca,Other (taeh.ca),TAEH website and strategic plan; Built for Zero Canada scorecard — confirmed multiple Task G submiss,no,,CL-071,1,project-history
RES-0089,https://taeh.ca/,Other (taeh.ca),taeh.ca and Toronto Foundation profile,no,,CL-303,1,project-history
RES-0090,https://tdotcommunity.ca/project/drug-overdose-deaths-in-torontos-homeless-shelters-are-the-new-normal/,Other (tdotcommunity.ca),tdotcommunity.ca April 2022 citing City overdose data,no,,CL-301;CL-612,2,project-history
RES-0091,https://theguardian.com (need specific URL),Other (theguardian.com (need specific url)),DeepSeek-Expert citing The Guardian 2019,no,,CL-093,1,project-history
RES-0092,https://thelocal.to/ttc-mental-health-issues-homelessness-public-space/,Other (thelocal.to),The Local — Investigative Journalism on TTC and Homelessness,yes,N-012,CL-395;CL-589;CL-780,3,project-history
RES-0093,https://toronto.ca/community-people/community-partners/emergency-shelter-operators/homelessness-shelter-operator-expression-of-interest,City of Toronto (primary govt),Homelessness Shelter Operator Expression of Interest City of Toronto,no,,CL-288,1,project-history
RES-0094,https://toronto.ca/wp-content/uploads/2024/04/96b5-Shelter-Safety-Study-AODA-Final-Report-April-2024.pdf,City of Toronto (primary govt),CAMH Shelter Safety Study 2024,no,,CL-013;CL-014,2,project-history
RES-0095,https://toronto.citynews.ca/2024/12/16/mayor-olivia-chow-removes-councillor-brad-bradford-from-housing-committee,Other (toronto.citynews.ca),CityNews — Mayor Chow Removes Bradford from Housing Committee (December 2024),yes,I-002,CL-125,1,project-history
RES-0096,https://torontohousing.ca/sites/default/files/2025-12/item_7a_-_2025-76_-_toronto_community_housing_safety_and_wellbeing_strategy_2026-2030.pdf,Other (torontohousing.ca),TCHC 2026-2030 Safety and Wellbeing Strategy,yes,M-002,CL-413,1,project-history
RES-0097,https://torontolife.com/city/this-years-ttc-operating-budget-will-exceed-3-billion/,News (other outlet),TorontoToday / Toronto Life — TTC 2027 Funding Cliff,yes,R-001,,0,project-history
RES-0098,https://tribunalwatch.ca/2024/ltb-statement-of-concern-the-numbers-speak-for-themselves/,Tribunal Watch / Tribunals Ontario,Tribunal Watch Ontario February 2024,no,,CL-021;CL-232,2,project-history
RES-0099,https://tribunalwatch.ca/2025/the-landlord-and-tenant-board-annual-report-progress-but-still-a-long-way-to-go/,Tribunal Watch / Tribunals Ontario,Tribunal Watch Ontario analysis of Tribunals Ontario 2024-25 Annual Report,no,,CL-351;CL-459,2,project-history
RES-0100,https://tribunalwatch.ca/tag/ltb/,Tribunal Watch / Tribunals Ontario,Tribunal Watch Ontario direct statement June 10 2026,no,,CL-460,1,project-history
RES-0101,https://unityhealth.to/2023/07/homelessness-cold-weather-ed/,Other (unityhealth.to),Unity Health Toronto and Institute for Clinical Evaluative Sciences 2023 study cited in AG audit,no,,CL-320,1,project-history
RES-0102,https://utppublishing.com/doi/full/10.3138/CPP.39.4.541,Academic (journal),"O'Grady, Gaetz & Buccieri (2013) — Tickets... and More Tickets",yes,N-002,CL-423,1,project-history
RES-0103,https://www.abc13.com/post/increased-number-citations-written-homeless-houston-new-ordinance/18149138/,Other (www.abc13.com),Houston Public Media July 16 2025; ABC13; Defender Network,no,,CL-205,1,project-history
RES-0104,https://www.acto.ca,Other (www.acto.ca),ISAC/ACTO November 2025 submission,no,,CL-017,1,project-history
RES-0105,https://www.allianceon.org/sites/default/files/CHC_ED_Costs_Averted_Feb_9.pdf,Other (www.allianceon.org),Alliance for Healthier Communities — ED Costs Averted Report,yes,N-021,CL-427,1,project-history
RES-0106,https://www.amo.on.ca/sites/default/files/assets/DOCUMENTS/Reports/2025/2025-01-08-AMOHomelessnessReportSummaryFinal.pdf,Other (www.amo.on.ca),AMO/HelpSeeker 2025 — Municipalities Under Pressure,yes,G-001,CL-060;CL-111;CL-114;CL-779,4,project-history
RES-0107,https://www.amo.on.ca/sites/default/files/assets/DOCUMENTS/Reports/2026/MunisUnderPressure1YearUpdateReport2026-01-13.pdf,Other (www.amo.on.ca),AMO/HelpSeeker 2026 — Municipalities Under Pressure: One Year Later,yes,G-002,CL-026;CL-027;CL-112;CL-113;CL-121,5,project-history
RES-0108,https://www.auditor.on.ca/en/content/annualreports/arreports/en21/AR_Homelessness_en21.pdf,Other (www.auditor.on.ca),Ontario Auditor General 2021 — Value-for-Money Audit: Homelessness,yes,D-001,CL-139,1,project-history
RES-0109,https://www.auditor.on.ca/en/content/annualreports/arreports/en23/1-07FU_homelessness_en23.pdf,Other (www.auditor.on.ca),Ontario Auditor General 2023 — Follow-up on Homelessness Audit,yes,D-002,CL-140,1,project-history
RES-0110,https://www.bitfocus.com/blog/leveraging-your-hmis-to-support-trauma-informed-care,Other (www.bitfocus.com),Dinnen et al 2014 cited in Bitfocus HMIS trauma-informed care paper,no,,CL-372,1,project-history
RES-0111,https://www.bmj.com/content/339/bmj.b4036,Other (www.bmj.com),Hwang et al. 2009 BMJ b4036,no,,CL-029,1,project-history
RES-0112,https://www.bu.edu/sph/news/articles/2024/extreme-heat-may-substantially-raise-mortality-risk-for-people-experiencing-homelessness/,Other (www.bu.edu),Lin et al. (2024) — Daily Heat and Mortality Among People Experiencing Homelessness,yes,N-001,CL-421,1,project-history
RES-0113,https://www.budget.gc.ca/2021/report-rapport/p2-en.html,Other (www.budget.gc.ca),Federal Budget 2021 Chapter 5; confirmed in Hansard and CMHC transition documents,no,,CL-131,1,project-history
RES-0114,https://www.calgaryhomeless.com/,Other (www.calgaryhomeless.com),"Calgary Homeless Foundation 2024 PIT count — confirmed research pass; 3,314 was incorrect",no,,CL-092;CL-207,2,project-history
RES-0115,https://www.calgaryhomeless.com/wp-content/uploads/2026/03/PiT-Report_2025.F2.pdf,Other (www.calgaryhomeless.com),Calgary Homeless Foundation — 2025 Point-in-Time Count,yes,H-003,CL-134,1,project-history
RES-0116,https://www.cambridge.org/core/journals/canadian-journal-of-law-and-society-la-revue-canadienne-droit-et-societe/article/vulnerability-of-asylum-seekers-and-undocumented-migrants-in-toronto/4E68F42076F04F4778F0F92587E6A9C9,Other (www.cambridge.org),Cambridge University Press Vulnerability of Asylum Seekers and Undocumented Migrants in Toronto 2024,no,,CL-381,1,project-history
RES-0117,https://www.cbc.ca/news/canada/calgary/homeless-medicine-hat-point-in-time-count-1.6600717,News (CBC),CBC News — Medicine Hat Functional Zero Reversal (October 2022),yes,H-002,CL-176,1,project-history
RES-0118,https://www.cbc.ca/news/canada/kitchener-waterloo/green-liberal-mpps-housing-first-private-members-bill-can-it-work-1.7548550,News (CBC),AMO/HelpSeeker 2025 report via CBC News June 2025,no,,CL-155;CL-157,2,project-history
RES-0119,https://www.cbc.ca/news/canada/ottawa/ottawa-questions-homelessness-funding-1.6823740,News (CBC),"CBC News — Ottawa HPP Allocation Shortfall (April 27, 2023)",yes,G-006,CL-269,1,project-history
RES-0120,https://www.cbc.ca/news/canada/toronto/,News (CBC),Progress Toronto; CBC Toronto July 24 2025,no,,CL-282,1,project-history
RES-0121,https://www.cbc.ca/news/canada/toronto/encampment-clearing-investigation-toronto-ombudsman-1.6789619,News (CBC),City of Toronto data cited in CBC News March 2023,no,,CL-096,1,project-history
RES-0122,https://www.cbc.ca/news/canada/toronto/incarceration-to-encampment-john-howard-society-of-ontario-report-1.7585965,News (CBC),"John Howard Society of Ontario ""From Incarceration to Encampment"" (July 2025); CBC News July 17 2025",no,,CL-215,1,project-history
RES-0123,https://www.cbc.ca/news/canada/toronto/number-of-encampments-decreased-past-year-homelessness-9.7182350,News (CBC),"CBC News — Toronto Encampment Decline Coverage (April 30, 2026 and January 14, 2026)",yes,N-026,CL-431,1,project-history
RES-0124,https://www.cbc.ca/news/canada/toronto/ontario-defends-supervised-consumption-site-closures-9.7142185,News (CBC),"CBC News — Ford Government Defends SCS Closures (March 25, 2026)",yes,I-001,CL-149;CL-151,2,project-history
RES-0125,https://www.cbc.ca/news/canada/toronto/ontario-greenbelt-review-update-9.7148802,News (CBC),Globalnews/CBC — RCMP Greenbelt Investigation Status (2026),yes,N-031,CL-438,1,project-history
RES-0126,https://www.cbc.ca/news/canada/toronto/ontario-temp-foreign-workers-agencies-1.6213249,News (CBC),CBC News 2021-2023 reporting on Ontario Ministry of Labour enforcement,no,,CL-331,1,project-history
RES-0127,https://www.cbc.ca/news/canada/toronto/refugee-housing-shelter-asylum-seekers-work-permits-1.6911571,News (CBC),CBC News July 2023,no,,CL-358,1,project-history
RES-0128,https://www.cbc.ca/news/canada/toronto/toronto-affordable-housing-lottery-changes-1.7416934,News (CBC),CBC News January 6 2025 citing City of Toronto data,no,,CL-311;CL-312,2,project-history
RES-0129,https://www.cbc.ca/news/canada/toronto/toronto-city-council-meeting-nov-8-1.7020639,News (CBC),CBC News November 8 2023,no,,CL-284,1,project-history
RES-0130,https://www.cbc.ca/news/canada/toronto/toronto-increase-rent-bank-funding-mayor-9.7044571,News (CBC),CBC News January 14 2026 (Mayor Chow announcement),no,,CL-024,1,project-history
RES-0131,https://www.cbc.ca/news/canada/toronto/toronto-ombudsman-report-refugee-shelters-council-1.7414425,News (CBC),"CBC News — Council Response to the Refugee Shelter Ombudsman Report (Dec 19, 2024)",yes,N-044,CL-451;CL-606,2,project-history
RES-0132,https://www.change.org/p/audit-toronto-shelter-and-support-services-tsss,Other (www.change.org),Change.org petition Audit Toronto Shelter and Support Services TSSS,no,,CL-338,1,project-history
RES-0133,https://www.charityintelligence.ca/,Other (www.charityintelligence.ca),Charity Intelligence Canada via CRA T3010 (CRA BN 108229865RR0001),no,,CL-199,1,project-history
RES-0134,https://www.charityintelligence.ca/charity-details/204-fred-victor,Other (www.charityintelligence.ca),Fred Victor Centre — T3010 (FY March 2025),yes,K-002,CL-195,1,project-history
RES-0135,https://www.charityintelligence.ca/charity-details/350-homes-first,Other (www.charityintelligence.ca),Homes First Society — T3010 (FY December 2023),yes,K-001,CL-194;CL-501;CL-521;CL-672;CL-699,5,project-history
RES-0136,https://www.charityintelligence.ca/charity-details/114-dixon-hall-neighbourhood-services,Other (www.charityintelligence.ca),Dixon Hall Neighbourhood Services — T3010 (FY March 2024),yes,K-004,CL-197;CL-532;CL-700,3,project-history
