municipality,sgc_code,issue_slug,resolution_date,ask_summary,addressee_institution,source_url,tier
Peel Region,,housing-supply-affordability,2025-06-26,"Approved 'Peel Utility Model' infrastructure-funding motion; applied to federal Canada Housing Infrastructure Fund; cut development charges 50% conditional on a provincial funding agreement",Province of Ontario and Government of Canada (Canada Housing Infrastructure Fund/CMHC),https://peelregion.ca/press-releases/regional-council-approves-historic-motion-modernize-infrastructure-funding-accelerate-housing,1-search-verified
Peel Region,,housing-supply-affordability,2024,"Endorsed 'HOME Advocacy Framework' calling on federal/provincial governments to curb housing speculation and fund non-market/supportive housing",Government of Canada and Province of Ontario,https://peelregion.ca/press-releases/peel-calling-all-levels-government-take-concerted-action-now-end-affordable-housing-crisis,1-search-verified
Durham Region,,housing-supply-affordability,2023-11-28,"Endorsed resolution requesting Province rescind Bill 3, the Strong Mayors Building Homes Act 2022",Province of Ontario,https://pub-durhamregion.escribemeetings.com/filestream.ashx?DocumentId=3149,1-search-verified
Durham Region,,housing-supply-affordability,2022-11,"Stated Region was not meaningfully consulted on Bill 23 and called on Province to engage municipalities to increase housing supply for all income levels",Province of Ontario,https://www.durham.ca/en/regional-government/bill-23.aspx,1-search-verified
Halton Region,,housing-supply-affordability,2022-11-09,"Directed Regional Chair to write to Province on Bill 23 concerns and provincial modifications to the Regional Official Plan (ROPA 49)",Ministry of Municipal Affairs and Housing,https://www.haltonhillstoday.ca/local-news/province-overrules-halton-growth-plan-expands-urban-boundary-6102112,1-search-verified
Waterloo Region,,housing-supply-affordability,2022-12-14,"Sent letter outlining Bill 23 concerns and requesting Province address resulting revenue/deficit impacts, similar to relief offered Toronto",Province of Ontario,https://www.cbc.ca/news/canada/kitchener-waterloo/housing-bill-23-waterloo-region-council-1.6686623,1-search-verified
Waterloo Region,,housing-supply-affordability,2024-03-20,"Directed staff to pursue new funding tools for affordable-rental preservation and requested federal/provincial programs support acquisition/conversion to affordable housing",Province of Ontario and Government of Canada,https://www.cbc.ca/news/canada/kitchener-waterloo/region-waterloo-affordable-housing-1.7134587,1-search-verified
Cambridge,,housing-supply-affordability,2023-02-28,"Affirmed pledge to facilitate 19,000 new homes by 2031 per Province's Bill 23 municipal housing target framework",Ministry of Municipal Affairs and Housing,https://pub-cambridge.escribemeetings.com/filestream.ashx?DocumentId=9138,1
Cambridge,,housing-supply-affordability,2023-10-24,"Endorsed 8-initiative housing Action Plan and directed staff to sign a CMHC Contribution Agreement unlocking ~$21.2 million in federal funding",CMHC / Government of Canada,https://pub-cambridge.escribemeetings.com/filestream.ashx?DocumentId=9138,1
Cambridge,,homelessness-encampments,2023,"Supported an Ontario Big City Mayors motion requesting a funded federal/provincial blueprint for rapid construction of supportive housing units",Government of Canada and Province of Ontario,https://pub-cambridge.escribemeetings.com/filestream.ashx?DocumentId=12127,1
Cambridge,,housing-supply-affordability,2023-01-31,"Asked Province to define 'affordable housing' by income not market rate, raise the inclusionary-zoning cap, and extend the 25-year affordability timeline under Bill 23",Province of Ontario,https://www.cambridgetoday.ca/local-news/cambridge-joins-list-of-municipalities-pushing-back-on-bill-23-6253387,1-search-verified
Cambridge,,housing-supply-affordability,2025-10-28,"Asked Province to extend rent-control protection to units built after the current November 2018 cutoff",Province of Ontario,https://www.villagereport.ca/village-picks/cambridge-council-backs-motion-calling-for-stronger-rent-protections-11416983,1-search-verified
Kingston,,housing-supply-affordability,2022-12-06,"Formally opposed Bill 23; requested provincial consultation, a 90-day regulation review period, and funding to offset development-charge revenue losses",Ministry of Municipal Affairs and Housing,https://globalnews.ca/news/9334491/kingston-city-council-opposition-bill-23-more-homes-built-faster/,1-search-verified
Kingston,,housing-supply-affordability,2023-05-16,"Endorsed staff comments on Bill 97 and the draft Provincial Planning Statement, submitted to the Province ahead of finalizing planning legislation",Ministry of Municipal Affairs and Housing,https://www.kingstonist.com/news/city-of-kingston-staff-respond-to-bill-97-and-proposed-new-provincial-planning-statement/,1-search-verified
Kingston,,housing-supply-affordability,2025-05-20,"Opposed Bill 5; asked Province to pursue housing/infrastructure development consistent with environmental planning while preserving municipal planning authority",Province of Ontario,https://ygknews.ca/2025/05/29/kingston-city-council-votes-to-formally-oppose-provinces-controversial-bill-5/,1-search-verified
Kingston,,housing-supply-affordability,2025-11-18,"Requested clarity from the Minister on implementation timelines for the province's 'Simplifying and Standardizing Official Plans' consultation",Ministry of Municipal Affairs and Housing,https://pub-cityofkingston.escribemeetings.com/filestream.ashx?DocumentId=11124,1-search-verified
Windsor,,housing-supply-affordability,2023-12-13,"Resolved to submit/maintain application to federal Housing Accelerator Fund requesting up to $70 million",CMHC / Government of Canada,https://www.cbc.ca/news/canada/windsor/windsor-council-housing-funding-1.7058456,1-search-verified
Windsor,,housing-supply-affordability,2026-06-17,"Approved in principle a 70% development-charge reduction contingent on joint federal-provincial Development Charge Reduction Program funding",Province of Ontario and Government of Canada,https://www.cbc.ca/news/canada/windsor/windsor-development-charges-cut-provincial-federal-housing-program-affordability-9.7239172,1-search-verified
Vaughan,,housing-supply-affordability,2022-03-22,"Requested Province consult thoroughly with municipalities before finalizing policy based on the Housing Affordability Task Force report",Ministry of Municipal Affairs and Housing,https://pub-vaughan.escribemeetings.com/filestream.ashx?DocumentId=162072,1
Markham,,housing-supply-affordability,2022-11-22,"Requested Province immediately halt Bill 23 passage, include municipal representatives on its Housing Supply Action Plan Implementation Team, and extend consultation",Ministry of Municipal Affairs and Housing,https://pub-markham.escribemeetings.com/filestream.ashx?DocumentId=58881,1
Markham,,housing-supply-affordability,2023-05-02,"Stated non-support for specified Bill 97 changes to the Planning Act and Development Charges Act; forwarded comments to the Ministry",Ministry of Municipal Affairs and Housing,https://pub-markham.escribemeetings.com/filestream.ashx?DocumentId=75208,1
Southgate,,community-safety-crime-policing,2024-03-20,"Asked Province to reabsorb full OPP policing cost into the provincial budget for sustainable funding of small rural municipalities",Province of Ontario,https://pub-southgate.escribemeetings.com/filestream.ashx?DocumentId=26620,1-search-verified
Essa,,community-safety-crime-policing,2025,"Asked Province to cap annual OPP bill increases at 2%, with any increase above that absorbed by the province",Province of Ontario,https://www.collingwoodtoday.ca/local-news/opp-providing-cost-reduction-options-to-essa-council-today-9838653,1-search-verified
Tweed,,community-safety-crime-policing,2024-09-24,"Originating template resolution asking Province to reabsorb full OPP policing cost into the provincial budget",Province of Ontario,https://pub-tweed.escribemeetings.com/Meeting.aspx?Id=3660545d-3fa1-4123-9cf8-c8f139352d4f,1-search-verified
Kingston,,property-tax-municipal-finance,2024-02-20,"Called on Province to undertake a comprehensive review of the provincial-municipal fiscal arrangement, including property tax reliance",Government of Ontario,https://www.kingstonist.com/news/kingston-council-requests-comprehensive-review-of-provincial-municipal-fiscal-arrangement/,1-search-verified
Ottawa,,property-tax-municipal-finance,2024-02-07,"Directed Mayor to write Minister of Finance urging a joint Social and Economic Prosperity Review of municipal fiscal sustainability",Ontario Ministry of Finance,https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=893b6eb0-adc5-46b8-a6ca-5fa30b5190e0,1-search-verified
North Perth,,homelessness-encampments,2024-10-21,"Endorsed OBCM 'Solve the Crisis' campaign urging provincial/federal funding and action on the homelessness, mental health, and addictions crisis",Government of Ontario and Government of Canada,https://www.northperth.ca/news/posts/north-perth-passes-motion-supporting-solve-the-crisis-campaign/,1-search-verified
London,,homelessness-encampments,2025-12-16,"Council voted 10-2 to back OBCM's call for Ontario to declare a state of emergency and provide further intervention on the homelessness crisis",Government of Ontario,https://www.cbc.ca/news/canada/london/big-city-mayors-homelessness-london-9.7018642,1-search-verified
Brampton,,mobility-congestion-transit,2023-05-10,"Council unanimously endorsed a tunnel alignment for the downtown LRT extension, directing staff to pursue funding advocacy with the Province",Metrolinx / Government of Ontario,https://canada.constructconnect.com/dcn/news/infrastructure/2023/05/brampton-city-council-unanimously-supports-tunnel-option-for-lrt-extension,1-search-verified
Hamilton,,mobility-congestion-transit,2021-06-16,"Council voted to negotiate and sign an MOU accepting a $3.4 billion provincial/federal LRT funding commitment",Metrolinx / Ontario Ministry of Transportation,https://www.hamilton.ca/city-council/news-notices/news-releases/hamilton-city-council-ratifies-memorandum-understanding,1-search-verified
Middlesex County,,mobility-congestion-transit,2024-11-12,"Council resolved the County has capacity/authority to pursue an inter-community transit assessment, underpinning a provincial transit funding application",Ontario Ministry of Transportation,https://pub-middlesexcounty.escribemeetings.com/filestream.ashx?DocumentId=15582,1-search-verified
Sault Ste. Marie,,homelessness-encampments,2024-08-15,"Endorsed OBCM 'Solve the Crisis' campaign asking Province to appoint one minister with dedicated cross-ministry homelessness/mental-health/addictions authority and funding",Province of Ontario,https://saultstemarie.ca/nolum-supports-campaign-to-address-homelessness/,1
Greater Sudbury,,homelessness-encampments,2024-08-15,"Endorsed OBCM 'Solve the Crisis' campaign (as part of NOLUM) asking Province to appoint one minister with dedicated cross-ministry homelessness/mental-health/addictions authority and funding",Province of Ontario,https://saultstemarie.ca/nolum-supports-campaign-to-address-homelessness/,1-search-verified
North Bay,,homelessness-encampments,2024-08-15,"Endorsed OBCM 'Solve the Crisis' campaign (as part of NOLUM) asking Province to appoint one minister with dedicated cross-ministry homelessness/mental-health/addictions authority and funding",Province of Ontario,https://saultstemarie.ca/nolum-supports-campaign-to-address-homelessness/,1-search-verified
Timmins,,homelessness-encampments,2024-08-15,"Endorsed OBCM 'Solve the Crisis' campaign (as part of NOLUM) asking Province to appoint one minister with dedicated cross-ministry homelessness/mental-health/addictions authority and funding",Province of Ontario,https://saultstemarie.ca/nolum-supports-campaign-to-address-homelessness/,1-search-verified
Thunder Bay,,homelessness-encampments,2024-08-15,"Endorsed OBCM 'Solve the Crisis' campaign (as part of NOLUM) asking Province to appoint one minister with dedicated cross-ministry homelessness/mental-health/addictions authority and funding",Province of Ontario,https://saultstemarie.ca/nolum-supports-campaign-to-address-homelessness/,1-search-verified
Stratford,,homelessness-encampments,2025-01-03,"City Council endorsed a Region of Waterloo resolution supporting the OBCM 'Solve the Crisis' campaign on homelessness, mental health, and addictions",Province of Ontario,"https://www.deepriver.ca/userfiles/file/Resolution%20-Regarding%20Solving%20the%20Crisis%20-%20January%203,%202025.pdf",1-search-verified
Burlington,,property-tax-municipal-finance,date not listed,"Passed council resolution supporting AMO's call for a joint Social and Economic Prosperity Review of municipal fiscal sustainability",Government of Ontario,https://www.amo.on.ca/policy/social-and-economic-prosperity-review/list-municipalities-passing-resolutions-support-amos,1-search-verified
Brantford,,property-tax-municipal-finance,date not listed,"Passed council resolution supporting AMO's call for a joint Social and Economic Prosperity Review of municipal fiscal sustainability",Government of Ontario,https://www.amo.on.ca/policy/social-and-economic-prosperity-review/list-municipalities-passing-resolutions-support-amos,1-search-verified
Chatham-Kent,,property-tax-municipal-finance,date not listed,"Passed council resolution supporting AMO's call for a joint Social and Economic Prosperity Review of municipal fiscal sustainability",Government of Ontario,https://www.amo.on.ca/policy/social-and-economic-prosperity-review/list-municipalities-passing-resolutions-support-amos,1-search-verified
Niagara Region,,property-tax-municipal-finance,date not listed,"Passed council resolution supporting AMO's call for a joint Social and Economic Prosperity Review of municipal fiscal sustainability",Government of Ontario,https://www.amo.on.ca/policy/social-and-economic-prosperity-review/list-municipalities-passing-resolutions-support-amos,1-search-verified
Peel Region,,property-tax-municipal-finance,date not listed,"Passed council resolution supporting AMO's call for a joint Social and Economic Prosperity Review of municipal fiscal sustainability",Government of Ontario,https://www.amo.on.ca/policy/social-and-economic-prosperity-review/list-municipalities-passing-resolutions-support-amos,1-search-verified
Richmond Hill,,property-tax-municipal-finance,date not listed,"Passed council resolution supporting AMO's call for a joint Social and Economic Prosperity Review of municipal fiscal sustainability",Government of Ontario,https://www.amo.on.ca/policy/social-and-economic-prosperity-review/list-municipalities-passing-resolutions-support-amos,1-search-verified
Sault Ste. Marie,,property-tax-municipal-finance,date not listed,"Passed council resolution supporting AMO's call for a joint Social and Economic Prosperity Review of municipal fiscal sustainability",Government of Ontario,https://www.amo.on.ca/policy/social-and-economic-prosperity-review/list-municipalities-passing-resolutions-support-amos,1-search-verified
Stratford,,property-tax-municipal-finance,date not listed,"Passed council resolution supporting AMO's call for a joint Social and Economic Prosperity Review of municipal fiscal sustainability",Government of Ontario,https://www.amo.on.ca/policy/social-and-economic-prosperity-review/list-municipalities-passing-resolutions-support-amos,1-search-verified
Whitby,,property-tax-municipal-finance,date not listed,"Passed council resolution supporting AMO's call for a joint Social and Economic Prosperity Review of municipal fiscal sustainability",Government of Ontario,https://www.amo.on.ca/policy/social-and-economic-prosperity-review/list-municipalities-passing-resolutions-support-amos,1-search-verified
York Region,,property-tax-municipal-finance,date not listed,"Passed council resolution supporting AMO's call for a joint Social and Economic Prosperity Review of municipal fiscal sustainability",Government of Ontario,https://www.amo.on.ca/policy/social-and-economic-prosperity-review/list-municipalities-passing-resolutions-support-amos,1-search-verified
Ottawa,,mobility-congestion-transit,2025-10-08,"Directed Mayor to begin negotiations for provincial upload of the O-Train LRT, seeking a fair funding deal and Metrolinx accountability",Metrolinx / Province of Ontario,https://www.ctvnews.ca/ottawa/article/negotiations-to-upload-o-train-to-metrolinx-must-be-good-deal-for-ottawa-mayor-says/,1-search-verified
Mississauga,,mobility-congestion-transit,2024-11-13,"Requested Province subsidize approximately $65 million in annual Hurontario LRT operating costs for at least the first three years",Province of Ontario / Ontario Ministry of Transportation,https://thepointer.com/article/2024-12-18/mississauga-wants-pcs-to-cover-65-million-in-annual-lrt-operating-costs-province-considering-request,1-search-verified
Mississauga,,mobility-congestion-transit,2023-09-15,"Council endorsed six priority rapid-transit projects (incl. Hurontario LRT loop, Dundas BRT), directing funding advocacy to senior governments",Metrolinx / Province of Ontario,https://www.masstransitmag.com/management/article/21238977/mississauga-city-council-endorses-six-transit-priority-projects,1-search-verified
Waterloo Region,,mobility-congestion-transit,2025-11,"Approved ION LRT Stage 2 extension to Cambridge and directed staff to pursue 100% capital funding from senior governments",Province of Ontario and Government of Canada,https://www.regionofwaterloo.ca/programs-and-services/roads-and-transportation/transit-and-transportation/stage-2-ion/,1-search-verified
London,,mobility-congestion-transit,2026-01,"Provincial pre-budget submission sought $100 million capital funding for the previously-cancelled north Bus Rapid Transit route",Province of Ontario,https://www.cbc.ca/news/canada/london/brt-north-9.7052931,1-search-verified
Peterborough,,community-safety-crime-policing,2025-11-03,"Requested targeted funding for Community Safety and Policing Act compliance costs, police-grant reform, and stable court-security-services funding",Province of Ontario,https://www.peterborough.ca/news/posts/city-council-meeting-overview-package-for-november-3-2025/,1-search-verified
Ontario's Big City Mayors / MARCO,,community-safety-crime-policing,2025-08-17,"Requested proportional funding parity for municipal/regional police vs. OPP, and a sustainable needs-based provincial police funding model",Government of Ontario,https://www.ontariobigcitymayors.ca/wp-content/uploads/2025/08/OBCM-Motion-on-Sustainable-Funding-for-Municipal-Police-Services-August-17-2025.pdf,1
Prince Edward County,,community-safety-crime-policing,2026-03-10,"Asked Province to help cover rising OPP costs from compliance with provincial law and reassess police grant programs for fair, sustainable funding",Province of Ontario,https://www.quintenews.com/2026/03/10/county-calls-for-province-to-fund-policing/,1-search-verified
Rideau Lakes,,community-safety-crime-policing,2026-04-13,"Committee motion to endorse and forward Prince Edward County's resolution urging provincial review and reform of police grant programs for equitable funding",Province of Ontario / AMO / ROMA,https://pub-rideaulakes.escribemeetings.com/filestream.ashx?DocumentId=14465,1-search-verified
Orillia,,mobility-congestion-transit,2026-04-13,"Council resolution urging Province to prioritize expanding the Barrie GO Line for direct all-day two-way Orillia-Barrie Allandale connection",Government of Ontario / Ontario Ministry of Transportation,https://www.orilliamatters.com/local-news/orillia-pushes-for-go-transit-expansion-to-connect-city-to-gta-12137159,1-search-verified
Ajax,,mobility-congestion-transit,2025-06-23,"Council motion urging Province/Metrolinx to prioritize reinstating Lakeshore East GO Express service and provide a resumption timeline",Metrolinx / Ontario Ministry of Transportation,https://www.durhamradionews.com/archives/199251,1-search-verified
North Frontenac,,community-safety-crime-policing,2024-10-25,"Passed resolution objecting to a 21% OPP bill increase; sent letters to the Attorney General, Premier's office, and Municipal Policing Board",Province of Ontario (Ministry of the Attorney General / Office of the Premier),https://www.frontenacnews.ca/north-frontenac-news/item/17648-north-frontenac-council-reacts-to-whopping-opp-bill-for-2025,1-search-verified
Carling,,community-safety-crime-policing,2025-03-25,"Sent proposal for a temporary 'Repatriation of OPP Costs for Small Rural and Northern Communities' program during a period of cost uncertainty",Province of Ontario (Office of the Premier / Ministry of Municipal Affairs and Housing),https://carling.ca/wp-content/uploads/2025-08-01-Council-Correspondence-Package-.pdf,1-search-verified
Midland,,community-safety-crime-policing,2024-11,"Passed resolution calling on the Province to reabsorb the full cost of OPP policing into the provincial budget with no cost recovery to municipalities, and asked that the OPP Billing Model be referred to the Auditor General for review",Province of Ontario,https://www.midlandtoday.ca/local-news/high-policing-costs-still-a-cause-of-concern-for-county-councillors-9866924,1-search-verified
Bradford West Gwillimbury,,community-safety-crime-policing,2026-02-03,"Council passed a motion (modeled on Peterborough's Nov 2025 motion) citing policing cost increases driven by the Community Safety and Policing Act and calling for stable, targeted provincial funding rather than unpredictable annual grants",Province of Ontario,https://www.bradfordtoday.ca/police-beat/shot-in-the-dark-police-asking-province-for-increased-stable-funding-12057812,1-search-verified
Innisfil,,community-safety-crime-policing,2026-02-25,"Council passed a motion (modeled on Peterborough's Nov 2025 motion) calling on the Province to extend the same OPP-municipality policing-cost relief to municipalities with their own police services, citing an unfair funding disparity",Province of Ontario,https://www.bradfordtoday.ca/police-beat/shot-in-the-dark-police-asking-province-for-increased-stable-funding-12057812,1-search-verified
