claim_id,short_claim,canonical_metric,value,unit,time_frame,fact_or_inference,confidence_tag,primary_source,source_url,verification_path,notes,evidence_strength,relationship_to
CL-039,Peak Canadian social housing production,Annual units built at peak of federal social housing program,20000,affordable/social housing units per year,1973-1993 peak,FACT,VERIFIED,Cathy Crowe cited in Canadian Dimension; Macleans 2017,https://canadiandimension.com/articles/view/jean-chretiens-austerity-made-canada-less-prepared-for-covid-19,600000 units total 1973-1993; fell to 1-2% of all housing after 1996,"T-0030 registry-gap remediation, 2026-07-07: Live-fetched Canadian Dimension (canadiandimension.com/articles/view/jean-chretiens-austerity-made-canada-less-prepared-for-covid-19), verbatim: 'Activist and author Cathy Crowe explains that when Canada had a national housing program, 20,000 new units of affordable or social housing were built every year.' REAL CORRECTION: this article is dated July 2020 (not 2017 as this row states) and is bylined to Paris Marx, who quotes Crowe (not an article by Crowe herself). Could not locate a matching 2017 Maclean's article on this topic -- a March 2020 Maclean's opinion piece on homelessness as a public-health emergency was found but is unrelated to the peak-production claim. The substantive figure (20,000 units/year, Crowe's own words) is confirmed; the year/venue attribution needs correcting to 2020/Canadian Dimension/Paris-Marx-quoting-Crowe.",,
CL-040,Canada housing market privatization,Canada housing stock protected from market influences,3.5,percent,2022,FACT,VERIFY,Nicole Chaland cited in Times Colonist July 2022; Victoria Times Colonist,https://www.timescolonist.com/opinion/trevor-hancock-social-housing-crisis-stems-from-1993-federal-cuts-5591301,Lowest in OECD; compared to 60% of Vienna residents in subsidized housing,"T-0030 registry-gap remediation, 2026-07-07: Search-engine-corroborated (a direct fetch of this exact URL returned an empty page body, likely paywall/JS-rendering -- not personally re-rendered/quote-verified in this pass): the article is a Trevor Hancock opinion column (a Times Colonist columnist), not an article authored by Nicole Chaland -- she is quoted/cited within it, per: 'Only 3.5 per cent of Canada's housing stock is protected from market influences,' attributed to Chaland, a housing/homelessness researcher with Livable Victoria. Kept at VERIFY pending a follow-up direct browser check to confirm live-render and get a fully verbatim quote; the byline/attribution correction (Hancock op-ed citing Chaland, not Chaland's own article) should be applied regardless.",,
CL-041,Standard HF no effect ethno-racial groups,Housing First shows no significant effect for ethno-racial groups without cultural safety adaptation,No significant effect,qualitative finding,Toronto RCT,FACT,VERIFIED,Meta synthesis citing Toronto RCT analysis,"N/A — qualitative synthesis finding, no single primary URL; see notes",Toronto analysis cited by multiple models in Task A (cross-referenced),Critical finding: cultural adaptation is not optional,,
CL-042,"At Home Winnipeg HF-vs-TAU housing stability, majority-Indigenous cohort",At Home/Chez Soi Winnipeg site — Housing First vs Treatment-as-Usual housing-stability outcome (not an Indigenous-vs-non-Indigenous comparison; cohort was 71% Indigenous),45% HF vs 29% TAU,percent,6-month period within 2-year study,FACT,VERIFY,MHCC Winnipeg Final Report 2014,https://mentalhealthcommission.ca/resource/winnipeg-final-report-at-home-chez-soi-project/,Mental Health Commission of Canada,"71% Indigenous participants; 49% foster care; 42% parents in residential schools || T-0030 registry-gap remediation, 2026-07-07: REAL CORRECTION: live-fetched the MHCC Winnipeg At Home/Chez Soi Final Report (2014) directly. The 45% vs 29% figures this row cites are NOT an Indigenous-vs-non-Indigenous outcome gap -- verbatim: 'In the last six months of the study, 45% of HF participants were housed all of the time... whereas 29% of TAU [Treatment-as-Usual] participants were housed all of the time.' This is the Housing First-vs-control housing-stability effect, not an ethnicity comparison. The other contextual figures in this row ARE confirmed verbatim: '71% reported they were of First Nations, Inuit, and Metis descent... 49% reported a history in foster care, 42% had parents who attended residential school.' This row's short_claim/canonical_metric need rewording to describe the HF-vs-TAU housing-stability finding, not an Indigenous outcome gap, before public use.",,
CL-043,HF4Y Restart Project RCT,Housing First for Youth RCT — Restart Project 12-month outcomes,71.8% HF vs 35.6% usual care,percent days stably housed at 12 months,2024-2025,FACT,UNVERIFIED-REMOVED,Woodhall-Melnik et al. 2025 Urban Affairs Review,https://doi.org/10.1177/10780874251314838,DOI confirmed by Meta submission,"Most recent Canadian HF4Y RCT || Fable adversarial audit pass (Account A, batch 1/8), 2026-07-06: DOI 10.1177/10780874251314838 is Woodhall-Melnik et al. 2025 (systematic review, Urban Affairs Review 61(5)), not a Restart Project RCT — the 71.8%/35.6% figures do not attach to this DOI. The real active Canadian HF4Y RCT in the literature is Gaetz et al.'s multisite trial (protocol JMIR Res Protoc 2023). No confirmed source found for the specific 71.8%/35.6% figures — retired, not replaced. Do not cite this DOI for an RCT result. || T-0030 registry-gap remediation, 2026-07-07: source_url normalized from 'DOI: 10.1177/10780874251314838' to the resolvable https://doi.org/10.1177/10780874251314838 (DOI already cited correctly in this row's own primary_source field; doi.org is the standard permanent citation form -- same convention CL-784 already uses in this ledger).",,
CL-044,Housing First works better for 50+,At Home/Chez Soi: older adults (50+) show higher HF gains,+43.9% days stably housed vs TAU at 24 months; 85% stable over 6 years,percent,2009-2015 (AHCS follow-up),FACT,VERIFIED,Meta synthesis citing Chung et al. 2018 Int J Geriatr Psychiatry,https://doi.org/10.1002/gps.4682,Kimi confirmed AIRP Partnership evidence,"HF works BETTER for older adults than general population || T-0030 registry-gap remediation, 2026-07-07: source_url normalized from 'DOI: 10.1002/gps.4682' to the resolvable https://doi.org/10.1002/gps.4682 (DOI already cited correctly in this row's own primary_source field; doi.org is the standard permanent citation form -- same convention CL-784 already uses in this ledger).",,
CL-045,Toronto HF+ACT RCT substance use,Toronto HF+ACT RCT: housing improved but no substance use change,+45.8% stable housing but NO significant difference in substance use at 24 months,outcomes,Toronto AHCS arm,FACT,VERIFY,Meta synthesis citing Toronto AHCS arm data,https://pubmed.ncbi.nlm.nih.gov/25465295/,O'Campo et al. 2016 BMJ Open DOI: 10.1136/bmjopen-2015-010581,"Key nuance: housing ≠ substance use treatment || T-0030 registry-gap remediation, 2026-07-07: REAL CORRECTION: Kirst et al. 2015, Drug and Alcohol Dependence (DOI 10.1016/j.drugalcdep.2014.10.019), live-confirmed via a secondary plain-language summary (findings.org.uk) of the published study, verbatim: 'led to significantly greater reductions in drinking problems after 14 months, but not in problems with other substances' and at 24 months 'significantly greater reductions in... drink-related problems... However, no differences were found between housing first and treatment-as-usual for drug problems.' This row's 'no significant effect on substance use' framing is imprecise: alcohol outcomes DID improve significantly; only drug-specific outcomes showed no effect. Also: the study includes both an ACT arm (high-needs, n=97) and an ICM arm (moderate-needs, n=204) plus TAU (n=274) -- broader than 'HF+ACT' alone as this row currently frames it.",,
CL-046,Mino Kaanjigoowin outcomes,Na-Me-Res Mino Kaanjigoowin program Toronto outcomes,66% positive housing transitions; 54% private housing; 24 active members,outcomes,2019 evaluation,FACT,VERIFIED,Firestone et al. 2019 Well Living House,http://www.welllivinghouse.com/wp-content/uploads/2019/05/MK_Evaluation-Report_2019.pdf,URL confirmed by Kimi,Only 24 active members; 80-bed harm reduction shelter needed,,
CL-047,1500 older adults 55+ in shelter,Adults aged 55+ in Toronto shelters Sept 2024,1500,persons (15% of shelter users),Sept 2024,FACT,VERIFY,Wellesley Institute Aging While Homeless 2024,https://www.wellesleyinstitute.com/aging-while-homeless-the-growing-crisis-of-older-adults-in-torontos-shelter-system/,Cited by Meta; cross-referenced with City data,"Four-fold rise in two decades; only ~138 specialized beds || T-0030 registry-gap remediation, 2026-07-07: Live-fetched Wellesley Institute (Dec 2, 2024), verbatim: 'September 2024 data shows there were 1,500 adults aged 55 plus in Toronto's shelter system. This represented 15 per cent of all shelter users' and 'the older population has risen four-fold over the last two decades.' Both figures confirmed exactly. The ~138 specialized-beds figure in this row was NOT found on this page -- this is a blog/policy piece announcing a newly-launched research project, with detailed follow-on results (which may include a beds figure) promised for a later publication not yet located. Kept at VERIFY; the 138-beds figure should be treated as unconfirmed pending a follow-up Wellesley Institute report.",,
CL-048,138 specialized older adult shelter beds,Dedicated shelter beds for older adults in Toronto,Islington Seniors' Shelter (83 beds) + Scarborough Village Residence (Kingston Rd) — the two City sites serving older adults,beds,2024,FACT,VERIFY,Wellesley Institute Aging While Homeless 2024,,Meta submission; Islington and Kingston Rd facilities named,"Vs 1,500 older adults in shelter (15% of total) || Fable adversarial audit pass (Account A, batch 1/8), 2026-07-06: Cited Wellesley 'Aging while homeless' blog (Dec 2 2024, confirmed live) does NOT contain the ~138-bed figure or site names. Re-attributed to real City site-capacity sources; keep Wellesley only for the 1,500-total/15% context, not the bed count.",,
CL-049,1500 youth homeless vs 740 beds,Youth homeless nightly vs available youth shelter beds in Toronto,1500 homeless vs 740 beds,persons,2024,FACT,VERIFIED,"Covenant House Toronto, youth homelessness summit report, Dec 15 2025",https://www.newswire.ca/news-releases/new-report-issues-urgent-call-for-youth-specific-solutions-to-address-toronto-s-homelessness-crisis-861643897.html,Multiple model agreement,"~580 of 1,000 youth aging out fall immediately into homelessness || Fable adversarial audit pass (Account B, batch 1/8), 2026-07-06: Exact: 1,500+ 16-24yo homeless nightly per latest SNA vs up to 740 youth shelter beds. Citation upgraded from 'Meta synthesis' to the real named report.",,
CL-050,MH addiction waitlist 3574 to 13645,Toronto supportive housing waitlist for MH/addiction population,3574 (2011) → 13645 (2017),persons on waitlist,2011-2017,FACT,VERIFY,Meta synthesis; Aubry et al. 2015 Psychiatric Services,https://doi.org/10.1176/appi.ps.201400167,60% waited more than 2 years,"Waitlist may be higher in 2024 || Fable adversarial audit pass (Account A, batch 1/8), 2026-07-06: DOI 10.1176/appi.ps.201400167 resolves to Aubry et al. 2015 (RCT of Housing First w/ ACT, 5 Canadian cities) — a 2015 RCT paper cannot contain a 2017 waitlist figure. The 3,574→13,645 trajectory is actually The Access Point/Wellesley waitlist reporting, not this DOI. Re-attribute citation accordingly. CL-794 (14,000+, fetched 2026-07-06) supersedes for any current-figure use. || T-0030 registry-gap remediation, 2026-07-07: source_url normalized from 'DOI: 10.1176/appi.ps.201400167' to the resolvable https://doi.org/10.1176/appi.ps.201400167 (DOI already cited correctly in this row's own primary_source field; doi.org is the standard permanent citation form -- same convention CL-784 already uses in this ledger).",,
CL-051,Sullivan DVHF RCT,DVHF 24-month RCT: greater housing stability AND less DV depression PTSD,Significantly better outcomes across housing safety and mental health,outcomes at 24 months,US DVHF Demonstration,FACT,VERIFIED,Sullivan et al. 2023 JAMA Network Open,https://doi.org/10.1001/jamanetworkopen.2023.20213,DOI confirmed by Meta and Gemini,"Gold standard DVHF evidence || T-0030 registry-gap remediation, 2026-07-07: source_url normalized from 'DOI: 10.1001/jamanetworkopen.2023.20213' to the resolvable https://doi.org/10.1001/jamanetworkopen.2023.20213 (DOI already cited correctly in this row's own primary_source field; doi.org is the standard permanent citation form -- same convention CL-784 already uses in this ledger).",,
